Algeria	Africa
Angola	Africa
Benin	Africa
Botswana	Africa
Burkina Faso	Africa
Burundi	Africa
Cameroon	Africa
Cape Verde	Africa
Central African Republic	Africa
Chad	Africa
Comoros	Africa
Congo - Brazzaville	Africa
Congo - Kinshasa	Africa
Côte d’Ivoire	Africa
Djibouti	Africa
Egypt	Africa
Equatorial Guinea	Africa
Eritrea	Africa
Ethiopia	Africa
Gabon	Africa
Gambia	Africa
Ghana	Africa
Guinea	Africa
Guinea-Bissau	Africa
Kenya	Africa
Lesotho	Africa
Liberia	Africa
Libya	Africa
Madagascar	Africa
Malawi	Africa
Mali	Africa
Mauritania	Africa
Mauritius	Africa
Mayotte	Africa
Morocco	Africa
Mozambique	Africa
Namibia	Africa
Niger	Africa
Nigeria	Africa
Rwanda	Africa
Réunion	Africa
Saint Helena	Africa
Senegal	Africa
Seychelles	Africa
Sierra Leone	Africa
Somalia	Africa
South Africa	Africa
Sudan	Africa
Swaziland	Africa
São Tomé and Príncipe	Africa
Tanzania	Africa
Togo	Africa
Tunisia	Africa
Uganda	Africa
Western Sahara	Africa
Zambia	Africa
Zimbabwe	Africa
Eritrea and Ethiopia	Africa
South Sudan	Africa
Sao Tome and Principe	Africa
Cote d'Ivoire	Africa
Reunion	Africa
Congo, Dem. Rep.	Africa
Congo, Rep.	Africa
Anguilla	Americas
Antigua and Barbuda	Americas
Argentina	Americas
Aruba	Americas
Bahamas	Americas
Barbados	Americas
Belize	Americas
Bermuda	Americas
Bolivia	Americas
Brazil	Americas
British Virgin Islands	Americas
Canada	Americas
Cayman Islands	Americas
Chile	Americas
Colombia	Americas
Costa Rica	Americas
Cuba	Americas
Dominica	Americas
Dominican Republic	Americas
Ecuador	Americas
El Salvador	Americas
Falkland Islands	Americas
French Guiana	Americas
Greenland	Americas
Grenada	Americas
Guadeloupe	Americas
Guatemala	Americas
Guyana	Americas
Haiti	Americas
Honduras	Americas
Jamaica	Americas
Martinique	Americas
Mexico	Americas
Montserrat	Americas
Netherlands Antilles	Americas
Nicaragua	Americas
Panama	Americas
Paraguay	Americas
Peru	Americas
Puerto Rico	Americas
St. Barthélemy	Americas
St. Kitts and Nevis	Americas
St. Lucia	Americas
St. Martin	Americas
St. Pierre and Miquelon	Americas
St. Vincent and the Grenadines	Americas
Suriname	Americas
Trinidad and Tobago	Americas
Turks and Caicos Islands	Americas
Virgin Islands (U.S.)	Americas
United States	Americas
Uruguay	Americas
Venezuela	Americas
St.-Pierre-et-Miquelon	Americas
St. Helena	Americas
Sint Maarten (Dutch part)	Americas
Falkland Is (Malvinas)	Americas
Curaçao	Americas
Pitcairn	Americas
Cocos Island	Americas
Afghanistan	Asia
Armenia	Asia
Azerbaijan	Asia
Bahrain	Asia
Bangladesh	Asia
Bhutan	Asia
Brunei	Asia
Cambodia	Asia
China	Asia
Cyprus	Asia
Georgia	Asia
Hong Kong, China	Asia
India	Asia
Indonesia	Asia
Iran	Asia
Iraq	Asia
Israel	Asia
Japan	Asia
Jordan	Asia
Kazakhstan	Asia
Kuwait	Asia
Kyrgyzstan	Asia
Laos	Asia
Lebanon	Asia
Macao, China	Asia
Malaysia	Asia
Maldives	Asia
Mongolia	Asia
Myanmar [Burma]	Asia
Nepal	Asia
Neutral Zone	Asia
North Korea	Asia
Oman	Asia
Pakistan	Asia
West Bank and Gaza	Asia
People's Democratic Republic of Yemen	Asia
Philippines	Asia
Qatar	Asia
